case,filename,target_id,predicted_id,target_name,predicted_name
H045,H045_1_1_SH_LFC_3.txt.npy,2,2,SH,SH
H045,H045_1_1_SH_LFC_4.txt.npy,2,1,SH,NS
H051,H051_1_1_NS_LNC_1.txt.npy,1,0,NS,MC
H051,H051_1_1_NS_LNC_2.txt.npy,1,0,NS,MC
H051,H051_1_1_NS_LNC_3.txt.npy,1,0,NS,MC
H051,H051_1_1_NS_LNC_4.txt.npy,1,0,NS,MC
H051,H051_1_1_NS_LNC_5.txt.npy,1,0,NS,MC
H052,H052_1_1_NS_LPC_1.txt.npy,1,1,NS,NS
H052,H052_1_1_NS_LPC_10.txt.npy,1,1,NS,NS
H052,H052_1_1_NS_LPC_2.txt.npy,1,1,NS,NS
H052,H052_1_1_NS_LPC_3.txt.npy,1,1,NS,NS
H052,H052_1_1_NS_LPC_4.txt.npy,1,1,NS,NS
H054,H054_1_1_NS_NC_1.txt.npy,1,1,NS,NS
H054,H054_1_1_NS_NC_10.txt.npy,1,1,NS,NS
H054,H054_1_1_NS_NC_2.txt.npy,1,1,NS,NS
H054,H054_1_1_NS_NC_3.txt.npy,1,1,NS,NS
H054,H054_1_1_NS_NC_4.txt.npy,1,1,NS,NS
H055,H055_1_1_NS_LFC_1.txt.npy,1,1,NS,NS
H055,H055_1_1_NS_LFC_10.txt.npy,1,1,NS,NS
H055,H055_1_1_NS_LFC_2.txt.npy,1,1,NS,NS
H055,H055_1_1_NS_LFC_3.txt.npy,1,1,NS,NS
H055,H055_1_1_NS_LFC_4.txt.npy,1,1,NS,NS
H055,H055_1_1_SH_LNC_1.txt.npy,2,2,SH,SH
H055,H055_1_1_SH_LNC_10.txt.npy,2,2,SH,SH
H055,H055_1_1_SH_LNC_2.txt.npy,2,2,SH,SH
H055,H055_1_1_SH_LNC_3.txt.npy,2,2,SH,SH
H055,H055_1_1_SH_LNC_4.txt.npy,2,2,SH,SH
H068,H068_1_1_NS_LFC_1.txt.npy,1,1,NS,NS
H068,H068_1_1_NS_LFC_10.txt.npy,1,1,NS,NS
H068,H068_1_1_NS_LFC_2.txt.npy,1,1,NS,NS
H068,H068_1_1_NS_LFC_3.txt.npy,1,1,NS,NS
H068,H068_1_1_NS_LFC_4.txt.npy,1,1,NS,NS
H069,H069_1_1_NS_LPC_1.txt.npy,1,0,NS,MC
H069,H069_1_1_NS_LPC_2.txt.npy,1,1,NS,NS
H069,H069_1_1_NS_LPC_3.txt.npy,1,0,NS,MC
H069,H069_1_1_NS_LPC_4.txt.npy,1,0,NS,MC
H069,H069_1_1_NS_LPC_5.txt.npy,1,1,NS,NS
H069,H069_1_1_SH_LNC_1.txt.npy,2,2,SH,SH
H069,H069_1_1_SH_LNC_10.txt.npy,2,2,SH,SH
H069,H069_1_1_SH_LNC_2.txt.npy,2,2,SH,SH
H069,H069_1_1_SH_LNC_3.txt.npy,2,2,SH,SH
H069,H069_1_1_SH_LNC_4.txt.npy,2,2,SH,SH
H073,H073_1_1_NS_RFC_1.txt.npy,1,1,NS,NS
H073,H073_1_1_NS_RFC_10.txt.npy,1,1,NS,NS
H073,H073_1_1_NS_RFC_2.txt.npy,1,1,NS,NS
H073,H073_1_1_NS_RFC_3.txt.npy,1,1,NS,NS
H073,H073_1_1_NS_RFC_4.txt.npy,1,0,NS,MC
H073,H073_1_1_SH_RNC_1.txt.npy,2,1,SH,NS
H073,H073_1_1_SH_RNC_10.txt.npy,2,1,SH,NS
H073,H073_1_1_SH_RNC_2.txt.npy,2,1,SH,NS
H073,H073_1_1_SH_RNC_3.txt.npy,2,1,SH,NS
H073,H073_1_1_SH_RNC_4.txt.npy,2,1,SH,NS
H081,H081_1_1_MC_NC_1.txt.npy,0,0,MC,MC
H081,H081_1_1_MC_NC_10.txt.npy,0,0,MC,MC
H081,H081_1_1_MC_NC_2.txt.npy,0,0,MC,MC
H081,H081_1_1_MC_NC_3.txt.npy,0,0,MC,MC
H081,H081_1_1_MC_NC_4.txt.npy,0,0,MC,MC
H081,H081_1_1_SH_NC_1.txt.npy,2,2,SH,SH
H081,H081_1_1_SH_NC_10.txt.npy,2,0,SH,MC
H081,H081_1_1_SH_NC_2.txt.npy,2,2,SH,SH
H081,H081_1_1_SH_NC_3.txt.npy,2,1,SH,NS
H081,H081_1_1_SH_NC_4.txt.npy,2,2,SH,SH
